Strike,Date,Tribal Agency,Country,Location,Full Address,Latitude,Longitude,Time Period,Minimum All Targets,Maximum All Targets,Minimum Domestic Buildings,Maximum Domestic Buildings,Minimum Religious Buildings,Maximum Religious Buildings,Minimum Other Buildings,Maximum Other Buildings,Minimum vehicles,Maximum vehicles,Strucutral Damage,Minimum Number of Missiles Reported Fired,Maximum Number of Missiles Reported Fired,Minimum Total Reported Killed,Maximum Total Reported Killed,Minimum Civilians Reported Killed,Maximum Civilians Reported Killed,Minimum Children Reported Killed,Maximum Children Reported Killed,Minimum Injured,Maximum Injured
Ob160,13/11/2010,NWA,Pakistan,Ahmad Khel,Pakistan Ahmad Khel,33.1666669,71.25,Afternoon,1,2,0,1,0,0,0,0,1,1,-,2,2,4,4,0,4,0,0,1,1
Ob209,16/05/2011,NWA,Pakistan,Aimarki,Pakistan Aimarki,32.971444,70.278168,,1,2,1,1,0,1,0,0,0,0,4,2,2,4,10,0,0,0,0,2,4
B42,22/11/2008,NWA,Pakistan,Ali Khel,Pakistan Ali Khel,32.0585491,71.6903245,Night,1,1,1,1,0,0,0,0,0,0,4,2,2,4,6,0,1,0,0,6,6
Ob168,6/12/2010,NWA,Pakistan,Ali Khel,Pakistan Ali Khel,32.0585491,71.6903245,Evening,1,1,1,1,0,0,0,0,0,0,-,4,4,2,4,0,0,0,0,0,0
Ob49,17/12/2009,NWA,Pakistan,Ambar Shaga,Pakistan Ambar Shaga,30.487048,98.186266,Afternoon,1,2,1,2,0,0,0,0,0,0,4,10,10,12,16,6,6,0,0,0,0
Ob201,16/03/2011,NWA,Pakistan,Ambar Shaga,Pakistan Ambar Shaga,30.487048,98.186266,Morning,0,2,0,1,0,0,0,0,0,1,-,3,3,3,5,0,0,0,0,0,0
B4,1/12/2005,NWA,India,Asori,India Asori,32.974702,70.251646,Night,1,1,1,1,0,0,0,0,0,0,-,Unreported,Unreported,6,6,2,3,2,2,0,0
B37,31/10/2008,NWA,India,Asori,India Asori,32.974702,70.251646,Evening,0,2,0,1,0,0,0,0,0,1,4,2,2,4,25,1,20,0,0,0,0
Ob107,14/08/2010,NWA,India,Asori,India Asori,32.974702,70.251646,Evening,1,2,1,2,0,0,0,0,0,0,-,2,2,13,14,7,7,1,1,5,6
B13,28/02/2008,SWA,Pakistan,Azam Warsak,Pakistan Azam Warsak,32.2907333,69.4285474,Night,1,2,1,1,0,1,0,0,0,0,4,3,3,10,13,0,0,0,0,6,16
